run_name,N,M,Compression,evaluated_queries,missing_run_queries,Recall@1,Recall@5,Recall@10,MRR@10,nDCG@10,Index Size MB,Estimated Code Size MB,Reconstructed File Size MB,Original FP Payload Size MB,Original FP File Size MB,Compression Ratio vs FP Payload,MSE,MAE,pq_m,bits,nlist,nprobe,reconstruct_mode,Build Time sec,Latency ms/query,Rerank Time sec,Valid Query Count,Valid Candidate Count,run_file,latency_file,index_stats_file
w6_N10_M8_none,10,8,None,30,0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.09068783068783069,0.12486464851750534,1.578125,1.578125,1.5904541015625,1.578125,1.5904541015625,1.0,0.0,0.0,,,,,none,0.0,4.872377713521321,0.14617133140563965,30,300,results\budgeted\joint_compression\runs\w6_N10_M8_none_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M8_none_latency.json,
w6_N10_M8_pq,10,8,PQ,30,0,0.0,0.1,0.26666666666666666,0.05037037037037037,0.09489076604055888,0.00616455078125,0.00616455078125,1.5904541015625,1.578125,1.5904541015625,256.0,0.0004607306618709117,0.01665865071117878,16.0,4.0,,,pq_decode,0.07103323936462402,4.895973205566406,0.1468791961669922,30,300,results\budgeted\joint_compression\runs\w6_N10_M8_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M8_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M8_pq_index_stats.json
w6_N10_M8_opq_pq,10,8,OPQ+PQ,30,0,0.0,0.1,0.26666666666666666,0.04263227513227514,0.08881127474221022,0.00616455078125,0.00616455078125,1.5904541015625,1.578125,1.5904541015625,256.0,0.0004371757968328893,0.016188308596611023,16.0,4.0,,,opq_reverse_pq_decode,14.359713792800903,4.891157150268555,0.14673471450805664,30,300,results\budgeted\joint_compression\runs\w6_N10_M8_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M8_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M8_opq_pq_index_stats.json
w6_N10_M8_ivf_pq,10,8,IVF+PQ,30,0,0.0,0.1,0.26666666666666666,0.052910052910052914,0.09691716097410459,0.00616455078125,0.00616455078125,1.5904541015625,1.578125,1.5904541015625,256.0,0.0004275804094504565,0.01605311967432499,16.0,4.0,8.0,4.0,direct_map,0.09907293319702148,4.808243115743001,0.14424729347229004,30,300,results\budgeted\joint_compression\runs\w6_N10_M8_ivf_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M8_ivf_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M8_ivf_pq_index_stats.json
w6_N10_M8_ivf_opq_pq,10,8,IVF+OPQ+PQ,30,0,0.0,0.1,0.26666666666666666,0.055317460317460314,0.09902133864678676,0.00616455078125,0.00616455078125,1.5904541015625,1.578125,1.5904541015625,256.0,0.0004135753551963717,0.015757307410240173,16.0,4.0,8.0,4.0,direct_map,15.35015869140625,4.803927739461264,0.1441178321838379,30,300,results\budgeted\joint_compression\runs\w6_N10_M8_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M8_ivf_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M8_ivf_opq_pq_index_stats.json
w6_N10_M16_none,10,16,None,30,0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.09013227513227512,0.12423228121067115,3.15625,3.15625,3.1685791015625,3.15625,3.1685791015625,1.0,0.0,0.0,,,,,none,0.0,5.0153811772664385,0.15046143531799316,30,300,results\budgeted\joint_compression\runs\w6_N10_M16_none_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M16_none_latency.json,
w6_N10_M16_pq,10,16,PQ,30,0,0.0,0.1,0.26666666666666666,0.065,0.10717668536414435,0.0123291015625,0.0123291015625,3.1685791015625,3.15625,3.1685791015625,256.0,0.00047263369197025895,0.016926802694797516,16.0,4.0,,,pq_decode,0.13236403465270996,4.952526092529297,0.1485757827758789,30,300,results\budgeted\joint_compression\runs\w6_N10_M16_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M16_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M16_pq_index_stats.json
w6_N10_M16_opq_pq,10,16,OPQ+PQ,30,0,0.0,0.03333333333333333,0.26666666666666666,0.04231481481481482,0.08838068489585708,0.0123291015625,0.0123291015625,3.1685791015625,3.15625,3.1685791015625,256.0,0.00045046646846458316,0.01648344285786152,16.0,4.0,,,opq_reverse_pq_decode,17.938496589660645,4.980142911275228,0.14940428733825684,30,300,results\budgeted\joint_compression\runs\w6_N10_M16_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M16_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M16_opq_pq_index_stats.json
w6_N10_M16_ivf_pq,10,16,IVF+PQ,30,0,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.06564814814814815,0.10606887223340773,0.0123291015625,0.0123291015625,3.1685791015625,3.15625,3.1685791015625,256.0,0.0004391977854538709,0.01630106009542942,16.0,4.0,8.0,4.0,direct_map,0.14241790771484375,5.713589986165364,0.17140769958496094,30,300,results\budgeted\joint_compression\runs\w6_N10_M16_ivf_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M16_ivf_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M16_ivf_pq_index_stats.json
w6_N10_M16_ivf_opq_pq,10,16,IVF+OPQ+PQ,30,0,0.03333333333333333,0.1,0.26666666666666666,0.07796296296296297,0.11620592010609236,0.0123291015625,0.0123291015625,3.1685791015625,3.15625,3.1685791015625,256.0,0.00042224975186400115,0.015948807820677757,16.0,4.0,8.0,4.0,direct_map,18.008740663528442,5.700524648030599,0.17101573944091797,30,300,results\budgeted\joint_compression\runs\w6_N10_M16_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M16_ivf_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M16_ivf_opq_pq_index_stats.json
w6_N10_M24_none,10,24,None,30,0,0.03333333333333333,0.1,0.26666666666666666,0.07544973544973545,0.11446669251441946,4.734375,4.734375,4.7467041015625,4.734375,4.7467041015625,1.0,0.0,0.0,,,,,none,0.0,5.3177038828531895,0.1595311164855957,30,300,results\budgeted\joint_compression\runs\w6_N10_M24_none_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M24_none_latency.json,
w6_N10_M24_pq,10,24,PQ,30,0,0.03333333333333333,0.13333333333333333,0.26666666666666666,0.08892857142857144,0.1254604879199485,0.01849365234375,0.01849365234375,4.7467041015625,4.734375,4.7467041015625,256.0,0.00045810092706233263,0.016606859862804413,16.0,4.0,,,pq_decode,0.18793702125549316,5.105066299438477,0.1531519889831543,30,300,results\budgeted\joint_compression\runs\w6_N10_M24_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M24_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M24_pq_index_stats.json
w6_N10_M24_opq_pq,10,24,OPQ+PQ,30,0,0.03333333333333333,0.1,0.26666666666666666,0.08226190476190477,0.12007464213001591,0.01849365234375,0.01849365234375,4.7467041015625,4.734375,4.7467041015625,256.0,0.00043150378041900694,0.016065308824181557,16.0,4.0,,,opq_reverse_pq_decode,20.54169464111328,5.00629742940267,0.15018892288208008,30,300,results\budgeted\joint_compression\runs\w6_N10_M24_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M24_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M24_opq_pq_index_stats.json
w6_N10_M24_ivf_pq,10,24,IVF+PQ,30,0,0.03333333333333333,0.1,0.26666666666666666,0.07253968253968253,0.11204145860267065,0.01849365234375,0.01849365234375,4.7467041015625,4.734375,4.7467041015625,256.0,0.00042484665755182505,0.01598394103348255,16.0,4.0,8.0,4.0,direct_map,0.2200334072113037,5.099844932556152,0.15299534797668457,30,300,results\budgeted\joint_compression\runs\w6_N10_M24_ivf_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M24_ivf_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M24_ivf_pq_index_stats.json
w6_N10_M24_ivf_opq_pq,10,24,IVF+OPQ+PQ,30,0,0.06666666666666667,0.1,0.26666666666666666,0.09568783068783068,0.1295850395760222,0.01849365234375,0.01849365234375,4.7467041015625,4.734375,4.7467041015625,256.0,0.00040774315129965544,0.015605718828737736,16.0,4.0,8.0,4.0,direct_map,20.385854721069336,5.406618118286133,0.16219854354858398,30,300,results\budgeted\joint_compression\runs\w6_N10_M24_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\latency\w6_N10_M24_ivf_opq_pq_latency.json,results\budgeted\joint_compression\index_stats\w6_N10_M24_ivf_opq_pq_index_stats.json
