N,M,Compression,Recall@10,MRR@10,nDCG@10,Index Size MB,Latency ms/query,run_name
10,8,None,0.26666666666666666,0.09068783068783069,0.12486464851750534,1.578125,4.872377713521321,w6_N10_M8_none
10,8,PQ,0.26666666666666666,0.05037037037037037,0.09489076604055888,0.00616455078125,4.895973205566406,w6_N10_M8_pq
10,8,OPQ+PQ,0.26666666666666666,0.04263227513227514,0.08881127474221022,0.00616455078125,4.891157150268555,w6_N10_M8_opq_pq
10,8,IVF+PQ,0.26666666666666666,0.052910052910052914,0.09691716097410459,0.00616455078125,4.808243115743001,w6_N10_M8_ivf_pq
10,8,IVF+OPQ+PQ,0.26666666666666666,0.055317460317460314,0.09902133864678676,0.00616455078125,4.803927739461264,w6_N10_M8_ivf_opq_pq
10,16,None,0.26666666666666666,0.09013227513227512,0.12423228121067115,3.15625,5.0153811772664385,w6_N10_M16_none
10,16,PQ,0.26666666666666666,0.065,0.10717668536414435,0.0123291015625,4.952526092529297,w6_N10_M16_pq
10,16,OPQ+PQ,0.26666666666666666,0.04231481481481482,0.08838068489585708,0.0123291015625,4.980142911275228,w6_N10_M16_opq_pq
10,16,IVF+PQ,0.26666666666666666,0.06564814814814815,0.10606887223340773,0.0123291015625,5.713589986165364,w6_N10_M16_ivf_pq
10,16,IVF+OPQ+PQ,0.26666666666666666,0.07796296296296297,0.11620592010609236,0.0123291015625,5.700524648030599,w6_N10_M16_ivf_opq_pq
10,24,None,0.26666666666666666,0.07544973544973545,0.11446669251441946,4.734375,5.3177038828531895,w6_N10_M24_none
10,24,PQ,0.26666666666666666,0.08892857142857144,0.1254604879199485,0.01849365234375,5.105066299438477,w6_N10_M24_pq
10,24,OPQ+PQ,0.26666666666666666,0.08226190476190477,0.12007464213001591,0.01849365234375,5.00629742940267,w6_N10_M24_opq_pq
10,24,IVF+PQ,0.26666666666666666,0.07253968253968253,0.11204145860267065,0.01849365234375,5.099844932556152,w6_N10_M24_ivf_pq
10,24,IVF+OPQ+PQ,0.26666666666666666,0.09568783068783068,0.1295850395760222,0.01849365234375,5.406618118286133,w6_N10_M24_ivf_opq_pq
