query_id,query,gold_page_id,query_type,page_type,evidence_type,retrievable,best_rank,matched_run,selection_score,priority
q001,,doc001_p001,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_run.tsv,-860,99
q002,,doc001_p002,unknown,unknown,region,yes,1,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv,-860,99
q004,,doc001_p004,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_run.tsv,-860,99
q006,,doc002_p001,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_run.tsv,-860,99
q007,,doc002_p001,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_run.tsv,-860,99
q008,,doc003_p007,unknown,unknown,region,yes,1,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv,-860,99
q009,,doc003_p008,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv,-860,99
q010,,doc003_p009,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_run.tsv,-860,99
q011,,doc003_p010,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_run.tsv,-860,99
q012,,doc003_p011,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,-860,99
q013,,doc003_p012,unknown,unknown,region,yes,1,results\week7\c2f_fixed_N\bm25_fullmv_N100_run.tsv,-860,99
q014,,doc003_p013,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv,-860,99
q015,,doc003_p014,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,-860,99
q016,,doc003_p015,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,-860,99
q017,,doc003_p016,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv,-860,99
q018,,doc003_p017,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv,-860,99
q019,,doc003_p018,unknown,unknown,region,yes,6,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv,-860,99
q020,,doc003_p019,unknown,unknown,region,yes,3,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,-860,99
q021,,doc003_p020,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p3_run.tsv,-860,99
q022,,doc003_p022,unknown,unknown,region,yes,1,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_run.tsv,-860,99
q023,,doc003_p023,unknown,unknown,region,yes,7,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv,-860,99
q024,,doc003_p024,unknown,unknown,region,yes,2,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,-860,99
q025,,doc003_p025,unknown,unknown,region,yes,5,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M8_none_run.tsv,-860,99
q026,,doc003_p026,unknown,unknown,region,yes,2,results\week7\c2f_fixed_N\bm25_budgetmv_N20_M16_none_run.tsv,-860,99
q027,,doc003_p027,unknown,unknown,region,yes,4,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv,-860,99
q029,,doc003_p007,unknown,unknown,region,yes,3,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_run.tsv,-860,99
q030,,doc003_p008,unknown,unknown,region,yes,6,results\week7\c2f_fixed_N\bm25_fullmv_N10_run.tsv,-860,99
q003,,doc001_p003,unknown,unknown,region,no,,,-890,99
q005,,doc001_p005,unknown,unknown,region,no,,,-890,99
q028,,doc001_p001,unknown,unknown,region,no,,,-890,99
